return_id,order_id,order_line_id,return_date,return_reason,refund_amount,resolution
RE0000764,OR0081790,OL000190674,2025-03-31,Damaged,49.79,Exchange
RE0000765,OR0010677,OL000025112,2023-12-03,Duplicate Order,29.02,Refunded
RE0000766,OR0006376,OL000014974,2025-10-01,Duplicate Order,8.33,Store Credit
RE0000767,OR0019474,OL000045456,2026-01-11,Wrong Item,190.74,Exchange
RE0000768,OR0075775,OL000176812,2023-04-18,Wrong Item,22.52,Exchange
RE0000769,OR0116176,OL000271027,2025-01-14,Quality Issue,31.36,Exchange
RE0000770,OR0100575,OL000234567,2023-07-28,Duplicate Order,3.9,Exchange
RE0000771,OR0115290,OL000268982,2025-02-10,Damaged,1109.37,Refunded
RE0000772,OR0113017,OL000263643,2024-07-27,Duplicate Order,9.77,Refunded
RE0000773,OR0109929,OL000256456,2023-08-03,Quality Issue,79.82,Refunded
RE0000774,OR0094796,OL000221184,2025-01-02,Changed Mind,97.4,Refunded
RE0000775,OR0021833,OL000050920,2024-07-06,Duplicate Order,62.19,Refunded
RE0000776,OR0114068,OL000266097,2024-06-24,Duplicate Order,146.87,Store Credit
RE0000777,OR0118266,OL000275800,2023-08-04,Damaged,15.21,Refunded
RE0000778,OR0071481,OL000166820,2025-08-02,Price Match,9.24,Exchange
RE0000779,OR0058100,OL000135677,2023-07-12,Late Delivery,16.57,Store Credit
RE0000780,OR0053532,OL000124864,2024-11-23,Price Match,204.19,Store Credit
RE0000781,OR0127652,OL000297681,2025-05-20,Price Match,684.05,Refunded
RE0000782,OR0015930,OL000037210,2025-06-07,Damaged,12.91,Exchange
RE0000783,OR0023874,OL000055638,2024-11-24,Wrong Item,22.47,Refunded
RE0000784,OR0016751,OL000039125,2025-03-01,Quality Issue,97.21,Refunded
RE0000785,OR0055737,OL000130157,2024-02-06,Damaged,85.47,Store Credit
RE0000786,OR0075383,OL000175938,2025-08-21,Quality Issue,17.7,Refunded
RE0000787,OR0121805,OL000284046,2023-09-09,Damaged,22.31,Refunded
RE0000788,OR0040612,OL000094608,2024-11-04,Quality Issue,64.34,Refunded
RE0000789,OR0067756,OL000158193,2025-07-06,Wrong Item,14.65,Store Credit
RE0000790,OR0099120,OL000231197,2023-08-09,Damaged,12.33,Exchange
RE0000791,OR0026902,OL000062819,2023-12-05,Quality Issue,76.0,Refunded
RE0000792,OR0118921,OL000277263,2024-05-15,Wrong Item,82.41,Refunded
RE0000793,OR0018390,OL000042878,2025-05-09,Changed Mind,168.34,Refunded
RE0000794,OR0009888,OL000023275,2025-08-19,Wrong Item,543.41,Store Credit
RE0000795,OR0035322,OL000082269,2024-01-31,Duplicate Order,52.13,Refunded
RE0000796,OR0122960,OL000286739,2025-04-28,Late Delivery,15.04,Refunded
RE0000797,OR0048766,OL000113525,2025-12-20,Changed Mind,14.08,Exchange
RE0000798,OR0019367,OL000045203,2025-06-19,Wrong Item,17.43,Refunded
RE0000799,OR0028694,OL000067030,2024-03-30,Price Match,727.05,Refunded
RE0000800,OR0123243,OL000287442,2024-09-14,Damaged,236.04,Refunded
RE0000801,OR0064069,OL000149556,2023-05-23,Wrong Item,312.2,Refunded
RE0000802,OR0126266,OL000294490,2025-03-07,Duplicate Order,68.5,Refunded
RE0000803,OR0037981,OL000088463,2026-01-06,Wrong Item,55.48,Exchange
RE0000804,OR0098746,OL000230321,2024-08-03,Wrong Item,179.53,Exchange
RE0000805,OR0116316,OL000271337,2026-01-09,Duplicate Order,18.99,Refunded
RE0000806,OR0109246,OL000254872,2024-09-11,Changed Mind,1245.75,Refunded
RE0000807,OR0078266,OL000182564,2025-08-17,Duplicate Order,188.04,Refunded
RE0000808,OR0065531,OL000153013,2023-12-27,Quality Issue,11.96,Refunded
RE0000809,OR0002561,OL000006049,2024-01-13,Price Match,9.92,Store Credit
RE0000810,OR0052205,OL000121747,2024-02-04,Price Match,11.62,Refunded
RE0000811,OR0022566,OL000052572,2024-12-24,Price Match,191.37,Refunded
RE0000812,OR0001742,OL000004107,2023-08-07,Damaged,61.25,Exchange
RE0000813,OR0112071,OL000261433,2023-10-13,Changed Mind,6.5,Refunded
RE0000814,OR0098687,OL000230190,2025-04-30,Changed Mind,39.43,Store Credit
RE0000815,OR0059624,OL000139219,2023-11-19,Damaged,27.99,Refunded
RE0000816,OR0115281,OL000268962,2024-06-26,Wrong Item,2.5,Store Credit
RE0000817,OR0048080,OL000111977,2024-01-01,Quality Issue,108.2,Exchange
RE0000818,OR0106472,OL000248495,2023-07-02,Price Match,57.77,Store Credit
RE0000819,OR0064026,OL000149472,2025-09-23,Changed Mind,25.4,Refunded
RE0000820,OR0066563,OL000155447,2023-12-09,Late Delivery,52.11,Refunded
RE0000821,OR0052067,OL000121424,2023-09-28,Duplicate Order,2.68,Exchange
RE0000822,OR0007297,OL000017157,2023-07-04,Price Match,17.18,Refunded
RE0000823,OR0129384,OL000301736,2025-11-16,Quality Issue,38.49,Refunded
RE0000824,OR0111163,OL000259304,2025-07-01,Price Match,7.37,Store Credit
RE0000825,OR0072709,OL000169683,2024-07-30,Changed Mind,89.54,Refunded
RE0000826,OR0079115,OL000184480,2025-02-17,Price Match,21.93,Refunded
RE0000827,OR0060067,OL000140240,2024-06-03,Wrong Item,264.91,Exchange
RE0000828,OR0112065,OL000261417,2024-03-27,Changed Mind,20.6,Refunded
RE0000829,OR0077866,OL000181625,2025-11-20,Damaged,569.54,Exchange
RE0000830,OR0109622,OL000255752,2023-12-24,Wrong Item,112.07,Exchange
RE0000831,OR0121243,OL000282695,2024-11-28,Price Match,12.82,Refunded
RE0000832,OR0066433,OL000155144,2023-09-25,Duplicate Order,9.24,Refunded
RE0000833,OR0129107,OL000301097,2025-09-13,Damaged,3.6,Store Credit
RE0000834,OR0018577,OL000043335,2024-06-03,Duplicate Order,11.71,Exchange
RE0000835,OR0054234,OL000126501,2025-05-13,Changed Mind,11.04,Refunded
RE0000836,OR0003021,OL000007111,2025-04-09,Changed Mind,11.95,Refunded
RE0000837,OR0088359,OL000206086,2025-01-21,Wrong Item,10.55,Store Credit
RE0000838,OR0115366,OL000269145,2024-07-21,Quality Issue,16.37,Refunded
RE0000839,OR0046688,OL000108741,2025-05-13,Quality Issue,9.39,Refunded
RE0000840,OR0036464,OL000084853,2024-07-28,Duplicate Order,483.04,Refunded
RE0000841,OR0068509,OL000159901,2024-01-26,Price Match,15.23,Exchange
RE0000842,OR0110467,OL000257766,2024-07-30,Changed Mind,126.9,Exchange
RE0000843,OR0084950,OL000198062,2023-07-06,Quality Issue,31.48,Refunded
RE0000844,OR0102946,OL000240167,2025-04-05,Duplicate Order,290.11,Refunded
RE0000845,OR0093230,OL000217536,2023-10-13,Changed Mind,3.27,Exchange
RE0000846,OR0109888,OL000256361,2024-12-16,Late Delivery,544.34,Refunded
RE0000847,OR0057436,OL000134113,2026-01-03,Changed Mind,12.16,Refunded
RE0000848,OR0105602,OL000246426,2025-10-09,Price Match,148.17,Refunded
RE0000849,OR0007487,OL000017618,2025-06-22,Wrong Item,25.31,Exchange
RE0000850,OR0120507,OL000280948,2023-07-08,Late Delivery,57.08,Refunded
RE0000851,OR0109056,OL000254429,2023-04-30,Late Delivery,130.53,Refunded
RE0000852,OR0126604,OL000295271,2025-06-19,Quality Issue,15.92,Store Credit
RE0000853,OR0058661,OL000136971,2026-01-05,Changed Mind,541.59,Refunded
RE0000854,OR0064119,OL000149692,2025-12-19,Duplicate Order,200.33,Exchange
RE0000855,OR0018036,OL000042033,2023-06-02,Changed Mind,8.19,Refunded
RE0000856,OR0073805,OL000172226,2024-05-10,Late Delivery,16.78,Refunded
RE0000857,OR0095848,OL000223592,2024-08-12,Changed Mind,3.26,Exchange
RE0000858,OR0109862,OL000256311,2023-11-21,Changed Mind,14.79,Refunded
RE0000859,OR0114378,OL000266858,2025-07-10,Damaged,70.91,Refunded
RE0000860,OR0109709,OL000255969,2023-10-11,Changed Mind,76.48,Refunded
RE0000861,OR0011237,OL000026489,2024-03-27,Late Delivery,15.02,Store Credit
RE0000862,OR0103321,OL000241027,2025-12-01,Wrong Item,18.43,Exchange
RE0000863,OR0103454,OL000241363,2023-03-19,Wrong Item,10.63,Refunded
RE0000864,OR0127215,OL000296662,2025-06-30,Wrong Item,49.38,Refunded
RE0000865,OR0010853,OL000025540,2025-02-10,Changed Mind,11.9,Exchange
RE0000866,OR0128743,OL000300238,2024-09-01,Duplicate Order,2.3,Store Credit
RE0000867,OR0017044,OL000039811,2025-02-08,Late Delivery,384.78,Store Credit
RE0000868,OR0119834,OL000279376,2024-03-27,Price Match,49.83,Refunded
RE0000869,OR0076019,OL000177394,2025-05-04,Late Delivery,105.42,Refunded
RE0000870,OR0008855,OL000020819,2025-04-20,Duplicate Order,236.61,Refunded
RE0000871,OR0113072,OL000263788,2023-11-05,Changed Mind,2.57,Refunded
RE0000872,OR0058588,OL000136809,2023-08-25,Changed Mind,26.62,Refunded
RE0000873,OR0033974,OL000079185,2023-09-25,Duplicate Order,29.78,Refunded
RE0000874,OR0065405,OL000152734,2024-02-12,Wrong Item,186.41,Refunded
RE0000875,OR0040329,OL000093921,2024-09-25,Duplicate Order,604.06,Exchange
RE0000876,OR0112408,OL000262227,2023-04-24,Damaged,14.19,Store Credit
RE0000877,OR0095579,OL000223002,2024-01-31,Wrong Item,76.96,Exchange
RE0000878,OR0086130,OL000200788,2024-11-04,Wrong Item,133.95,Refunded
RE0000879,OR0043129,OL000100423,2025-04-28,Changed Mind,616.92,Store Credit
RE0000880,OR0122449,OL000285537,2024-09-06,Late Delivery,678.21,Exchange
RE0000881,OR0054307,OL000126670,2025-11-19,Late Delivery,98.14,Store Credit
RE0000882,OR0099655,OL000232469,2024-02-26,Price Match,17.15,Store Credit
RE0000883,OR0092278,OL000215302,2023-03-24,Damaged,250.42,Refunded
RE0000884,OR0082115,OL000191424,2023-10-12,Duplicate Order,17.62,Refunded
RE0000885,OR0030281,OL000070716,2023-06-15,Quality Issue,605.42,Refunded
RE0000886,OR0027217,OL000063521,2025-01-02,Price Match,49.92,Store Credit
RE0000887,OR0088174,OL000205638,2023-03-12,Changed Mind,68.43,Refunded
RE0000888,OR0101372,OL000236427,2024-04-28,Duplicate Order,19.03,Store Credit
RE0000889,OR0011169,OL000026332,2023-09-05,Late Delivery,70.23,Exchange
RE0000890,OR0111893,OL000261024,2025-05-27,Damaged,40.17,Refunded
RE0000891,OR0029206,OL000068203,2025-09-26,Damaged,50.07,Refunded
RE0000892,OR0007103,OL000016708,2023-09-19,Damaged,5.93,Exchange
RE0000893,OR0060131,OL000140410,2024-09-13,Damaged,6.46,Refunded
RE0000894,OR0107362,OL000250520,2025-07-16,Late Delivery,27.73,Store Credit
RE0000895,OR0107791,OL000251559,2025-05-01,Late Delivery,390.94,Refunded
RE0000896,OR0020212,OL000047127,2024-08-20,Price Match,8.47,Store Credit
RE0000897,OR0113510,OL000264813,2024-11-02,Quality Issue,28.69,Store Credit
RE0000898,OR0118069,OL000275340,2025-01-06,Damaged,3.2,Store Credit
RE0000899,OR0103998,OL000242678,2025-10-10,Price Match,32.94,Refunded
RE0000900,OR0025501,OL000059595,2024-09-13,Late Delivery,17.07,Refunded
RE0000901,OR0058874,OL000137446,2023-11-10,Damaged,34.85,Store Credit
RE0000902,OR0055432,OL000129434,2025-01-25,Damaged,2.07,Refunded
RE0000903,OR0124434,OL000290228,2024-11-02,Duplicate Order,22.27,Exchange
RE0000904,OR0107548,OL000251008,2024-03-06,Duplicate Order,79.01,Exchange
RE0000905,OR0107610,OL000251156,2023-03-25,Late Delivery,62.92,Refunded
RE0000906,OR0091557,OL000213595,2023-11-05,Wrong Item,637.44,Store Credit
RE0000907,OR0057268,OL000133751,2024-08-22,Wrong Item,79.46,Exchange
RE0000908,OR0083100,OL000193675,2025-04-16,Duplicate Order,6.11,Refunded
RE0000909,OR0056010,OL000130813,2024-03-26,Quality Issue,21.78,Store Credit
RE0000910,OR0100253,OL000233803,2023-03-01,Wrong Item,2.29,Refunded
RE0000911,OR0024160,OL000056376,2025-06-02,Late Delivery,94.4,Refunded
RE0000912,OR0073653,OL000171862,2024-02-08,Changed Mind,15.89,Store Credit
RE0000913,OR0089281,OL000208216,2025-07-13,Quality Issue,54.75,Refunded
RE0000914,OR0107316,OL000250424,2025-09-02,Quality Issue,572.51,Exchange
RE0000915,OR0064944,OL000151650,2024-09-15,Changed Mind,184.7,Refunded
RE0000916,OR0112924,OL000263397,2025-08-21,Damaged,3.37,Refunded
RE0000917,OR0031940,OL000074486,2024-08-31,Late Delivery,325.54,Exchange
RE0000918,OR0089615,OL000208979,2024-04-23,Late Delivery,220.01,Exchange
RE0000919,OR0069153,OL000161355,2025-05-01,Late Delivery,147.14,Refunded
RE0000920,OR0024305,OL000056753,2025-07-27,Duplicate Order,65.82,Store Credit
RE0000921,OR0039744,OL000092561,2024-07-21,Changed Mind,45.6,Refunded
RE0000922,OR0037848,OL000088178,2023-06-12,Quality Issue,60.06,Refunded
RE0000923,OR0048162,OL000112186,2025-04-03,Quality Issue,66.51,Refunded
RE0000924,OR0095150,OL000222001,2025-11-10,Price Match,249.4,Refunded
RE0000925,OR0069102,OL000161214,2024-04-14,Wrong Item,487.17,Refunded
RE0000926,OR0058450,OL000136502,2024-02-08,Duplicate Order,70.6,Refunded
RE0000927,OR0023383,OL000054468,2023-08-23,Damaged,68.63,Refunded
RE0000928,OR0060852,OL000142041,2024-06-28,Late Delivery,2.09,Refunded
RE0000929,OR0120584,OL000281127,2024-05-13,Price Match,116.18,Refunded
RE0000930,OR0057135,OL000133465,2023-05-02,Changed Mind,137.91,Exchange
RE0000931,OR0000585,OL000001404,2025-07-22,Changed Mind,23.12,Refunded
RE0000932,OR0121260,OL000282744,2025-01-15,Duplicate Order,29.53,Exchange
RE0000933,OR0106896,OL000249465,2025-10-06,Duplicate Order,15.61,Refunded
RE0000934,OR0007662,OL000018050,2024-07-26,Damaged,4.45,Refunded
RE0000935,OR0013355,OL000031302,2023-08-06,Late Delivery,8.64,Refunded
RE0000936,OR0064805,OL000151366,2025-07-24,Damaged,50.97,Refunded
RE0000937,OR0019126,OL000044632,2024-08-02,Late Delivery,27.38,Store Credit
RE0000938,OR0121101,OL000282386,2024-08-12,Duplicate Order,8.33,Refunded
RE0000939,OR0052421,OL000122289,2024-12-27,Price Match,205.87,Refunded
RE0000940,OR0118063,OL000275326,2024-11-24,Duplicate Order,54.97,Refunded
RE0000941,OR0079212,OL000184693,2023-08-08,Changed Mind,41.75,Exchange
RE0000942,OR0064871,OL000151503,2025-08-12,Late Delivery,8.43,Refunded
RE0000943,OR0066327,OL000154875,2023-02-16,Damaged,2.58,Refunded
RE0000944,OR0064233,OL000149982,2025-07-05,Price Match,28.78,Refunded
RE0000945,OR0026443,OL000061739,2024-02-06,Damaged,154.02,Store Credit
RE0000946,OR0000947,OL000002265,2023-05-07,Wrong Item,7.29,Exchange
RE0000947,OR0066602,OL000155541,2025-03-16,Late Delivery,3.96,Refunded
RE0000948,OR0053801,OL000125532,2025-02-12,Wrong Item,7.4,Refunded
RE0000949,OR0021128,OL000049328,2024-09-17,Damaged,504.35,Store Credit
RE0000950,OR0113630,OL000265057,2025-09-28,Quality Issue,4.88,Refunded
RE0000951,OR0033196,OL000077347,2025-01-31,Duplicate Order,372.31,Store Credit
RE0000952,OR0079921,OL000186312,2025-04-17,Wrong Item,327.07,Refunded
RE0000953,OR0068633,OL000160185,2025-01-30,Changed Mind,38.0,Refunded
RE0000954,OR0039808,OL000092730,2023-10-17,Damaged,7.5,Store Credit
RE0000955,OR0115088,OL000268516,2025-06-13,Damaged,3.36,Refunded
RE0000956,OR0078197,OL000182402,2024-12-30,Wrong Item,575.0,Refunded
RE0000957,OR0093710,OL000218700,2023-09-08,Late Delivery,76.5,Store Credit
RE0000958,OR0101428,OL000236561,2024-02-11,Late Delivery,394.18,Refunded
RE0000959,OR0047380,OL000110323,2023-07-04,Late Delivery,38.49,Refunded
RE0000960,OR0074275,OL000173354,2024-11-22,Duplicate Order,65.26,Store Credit
RE0000961,OR0092721,OL000216319,2025-07-22,Duplicate Order,6.05,Refunded
RE0000962,OR0032024,OL000074691,2025-02-20,Quality Issue,140.92,Refunded
RE0000963,OR0075006,OL000175047,2024-03-22,Damaged,8.82,Store Credit
RE0000964,OR0072376,OL000168904,2025-05-02,Quality Issue,107.39,Store Credit
RE0000965,OR0069317,OL000161751,2025-08-10,Changed Mind,6.04,Store Credit
RE0000966,OR0056025,OL000130845,2024-11-02,Changed Mind,66.34,Refunded
RE0000967,OR0031595,OL000073708,2024-05-12,Late Delivery,7.79,Refunded
RE0000968,OR0002978,OL000007019,2024-09-24,Changed Mind,179.25,Store Credit
RE0000969,OR0035208,OL000082004,2024-03-19,Quality Issue,82.4,Refunded
RE0000970,OR0071871,OL000167723,2024-12-29,Quality Issue,24.62,Store Credit
RE0000971,OR0074079,OL000172879,2023-10-19,Late Delivery,9.75,Refunded
RE0000972,OR0058203,OL000135913,2023-07-20,Quality Issue,412.42,Refunded
RE0000973,OR0054745,OL000127768,2024-07-07,Quality Issue,21.78,Refunded
RE0000974,OR0024079,OL000056172,2023-08-12,Changed Mind,78.44,Refunded
RE0000975,OR0056032,OL000130856,2024-08-29,Changed Mind,31.14,Refunded
RE0000976,OR0038390,OL000089445,2025-01-21,Wrong Item,26.64,Refunded
RE0000977,OR0128924,OL000300668,2024-04-27,Damaged,65.59,Refunded
RE0000978,OR0063018,OL000147124,2024-01-01,Duplicate Order,104.96,Refunded
RE0000979,OR0076340,OL000178106,2025-11-13,Late Delivery,2.22,Refunded
RE0000980,OR0070740,OL000165122,2025-04-11,Quality Issue,156.63,Store Credit
RE0000981,OR0082895,OL000193208,2025-05-31,Quality Issue,461.99,Refunded
RE0000982,OR0117033,OL000272947,2023-08-15,Late Delivery,4.13,Store Credit
RE0000983,OR0042744,OL000099545,2024-11-17,Quality Issue,315.36,Refunded
RE0000984,OR0001668,OL000003914,2024-01-12,Damaged,118.53,Refunded
RE0000985,OR0105381,OL000245919,2024-07-24,Changed Mind,3.18,Refunded
RE0000986,OR0079966,OL000186441,2024-05-22,Wrong Item,5.17,Exchange
RE0000987,OR0062303,OL000145418,2025-10-04,Wrong Item,7.87,Refunded
RE0000988,OR0013893,OL000032596,2024-03-24,Wrong Item,12.79,Refunded
RE0000989,OR0034479,OL000080323,2024-07-28,Quality Issue,13.68,Exchange
RE0000990,OR0001557,OL000003647,2025-11-21,Damaged,610.01,Store Credit
RE0000991,OR0014584,OL000034127,2024-09-23,Damaged,11.81,Refunded
RE0000992,OR0054757,OL000127799,2023-05-23,Quality Issue,135.08,Refunded
RE0000993,OR0000226,OL000000545,2024-10-19,Duplicate Order,103.89,Refunded
RE0000994,OR0103747,OL000242057,2025-12-16,Wrong Item,594.26,Exchange
RE0000995,OR0045443,OL000105770,2023-11-25,Late Delivery,51.37,Store Credit
RE0000996,OR0090457,OL000211014,2023-07-26,Late Delivery,4.61,Exchange
RE0000997,OR0088795,OL000207052,2023-06-22,Changed Mind,21.89,Store Credit
RE0000998,OR0025780,OL000060259,2024-05-27,Price Match,4.56,Refunded
RE0000999,OR0091579,OL000213659,2024-02-17,Price Match,14.25,Exchange
RE0001000,OR0014565,OL000034089,2024-04-08,Damaged,5.24,Exchange
RE0001001,OR0057015,OL000133186,2024-12-06,Duplicate Order,66.36,Refunded
RE0001002,OR0031854,OL000074292,2024-12-10,Late Delivery,63.73,Refunded
RE0001003,OR0025018,OL000058404,2023-04-25,Damaged,31.68,Store Credit
RE0001004,OR0095187,OL000222091,2023-06-10,Changed Mind,20.59,Store Credit
RE0001005,OR0023109,OL000053825,2024-05-04,Late Delivery,259.41,Refunded
RE0001006,OR0024749,OL000057754,2024-08-04,Changed Mind,108.28,Store Credit
RE0001007,OR0034955,OL000081424,2024-11-28,Wrong Item,105.04,Refunded
RE0001008,OR0008322,OL000019594,2025-05-02,Wrong Item,9.28,Refunded
RE0001009,OR0025868,OL000060464,2025-09-27,Damaged,38.56,Refunded
RE0001010,OR0048586,OL000113147,2023-12-06,Quality Issue,61.61,Exchange
RE0001011,OR0110104,OL000256882,2023-10-07,Wrong Item,278.23,Refunded
RE0001012,OR0080297,OL000187206,2024-11-16,Duplicate Order,26.55,Exchange
RE0001013,OR0095583,OL000223017,2025-01-12,Quality Issue,42.94,Refunded
RE0001014,OR0065457,OL000152839,2023-12-15,Late Delivery,191.0,Exchange
RE0001015,OR0128922,OL000300661,2025-09-30,Changed Mind,76.84,Store Credit
RE0001016,OR0001466,OL000003463,2024-01-18,Quality Issue,19.41,Refunded
RE0001017,OR0072479,OL000169150,2024-07-05,Late Delivery,6.12,Refunded
RE0001018,OR0122929,OL000286660,2025-03-01,Duplicate Order,127.23,Exchange
RE0001019,OR0122695,OL000286109,2023-05-22,Price Match,252.78,Store Credit
RE0001020,OR0074224,OL000173236,2025-04-03,Damaged,1043.69,Exchange
RE0001021,OR0107347,OL000250487,2024-01-01,Changed Mind,78.05,Refunded
RE0001022,OR0057551,OL000134355,2024-06-04,Duplicate Order,6.04,Refunded
RE0001023,OR0048680,OL000113356,2024-03-01,Wrong Item,61.63,Refunded
RE0001024,OR0022227,OL000051801,2025-08-11,Late Delivery,11.78,Refunded
RE0001025,OR0113824,OL000265510,2025-02-12,Price Match,22.78,Refunded
RE0001026,OR0079866,OL000186193,2023-04-17,Changed Mind,18.45,Exchange
RE0001027,OR0059657,OL000139292,2025-07-06,Wrong Item,96.32,Refunded
RE0001028,OR0114329,OL000266731,2024-02-07,Wrong Item,10.9,Exchange
RE0001029,OR0114476,OL000267096,2025-09-03,Duplicate Order,1.48,Store Credit
RE0001030,OR0016124,OL000037648,2023-11-30,Quality Issue,847.38,Store Credit
RE0001031,OR0102297,OL000238556,2025-07-12,Damaged,1074.09,Refunded
RE0001032,OR0103245,OL000240852,2023-09-25,Changed Mind,67.71,Store Credit
RE0001033,OR0121574,OL000283507,2024-01-03,Late Delivery,3.65,Refunded
RE0001034,OR0052364,OL000122145,2024-10-05,Quality Issue,407.34,Exchange
RE0001035,OR0093527,OL000218232,2024-07-18,Damaged,25.07,Store Credit
RE0001036,OR0058115,OL000135707,2024-06-10,Duplicate Order,97.65,Refunded
RE0001037,OR0061150,OL000142741,2025-03-14,Quality Issue,338.41,Exchange
RE0001038,OR0097881,OL000228315,2024-08-27,Damaged,9.08,Refunded
RE0001039,OR0113696,OL000265220,2025-01-29,Changed Mind,30.2,Refunded
RE0001040,OR0095863,OL000223631,2024-05-14,Changed Mind,70.25,Refunded
RE0001041,OR0054533,OL000127236,2024-10-03,Quality Issue,6.11,Refunded
RE0001042,OR0044697,OL000104020,2024-03-01,Damaged,15.9,Refunded
RE0001043,OR0083214,OL000193953,2025-12-22,Changed Mind,301.79,Refunded
RE0001044,OR0036677,OL000085350,2024-05-03,Late Delivery,2.74,Refunded
RE0001045,OR0015619,OL000036489,2025-07-07,Changed Mind,405.04,Exchange
RE0001046,OR0110072,OL000256803,2025-05-23,Duplicate Order,30.85,Refunded
RE0001047,OR0056830,OL000132732,2025-05-31,Price Match,395.74,Refunded
RE0001048,OR0049588,OL000115480,2023-07-31,Damaged,23.62,Store Credit
RE0001049,OR0033557,OL000078202,2023-09-09,Price Match,39.5,Refunded
RE0001050,OR0005206,OL000012145,2024-02-08,Changed Mind,19.72,Refunded
RE0001051,OR0124832,OL000291135,2023-09-07,Quality Issue,7.25,Refunded
RE0001052,OR0028669,OL000066964,2024-12-30,Late Delivery,30.79,Refunded
RE0001053,OR0103864,OL000242367,2025-10-01,Late Delivery,71.22,Refunded
RE0001054,OR0058751,OL000137161,2023-10-29,Damaged,24.28,Refunded
RE0001055,OR0084474,OL000196955,2024-01-25,Late Delivery,184.09,Refunded
RE0001056,OR0079863,OL000186188,2023-10-13,Damaged,118.57,Refunded
RE0001057,OR0113430,OL000264624,2023-10-25,Wrong Item,44.04,Refunded
RE0001058,OR0105989,OL000247367,2024-04-24,Changed Mind,119.34,Refunded
RE0001059,OR0065458,OL000152844,2024-07-12,Duplicate Order,26.77,Refunded
RE0001060,OR0063908,OL000149194,2023-12-21,Price Match,13.81,Refunded
RE0001061,OR0020332,OL000047407,2024-02-14,Late Delivery,294.21,Refunded
RE0001062,OR0036143,OL000084173,2025-02-12,Changed Mind,210.21,Refunded
RE0001063,OR0096328,OL000224697,2023-12-14,Wrong Item,59.83,Refunded
RE0001064,OR0118039,OL000275267,2024-09-14,Late Delivery,4.29,Exchange
RE0001065,OR0113187,OL000264078,2025-01-25,Damaged,5.6,Refunded
RE0001066,OR0056934,OL000132981,2026-01-09,Late Delivery,1353.68,Refunded
RE0001067,OR0086325,OL000201256,2023-07-23,Late Delivery,6.03,Refunded
RE0001068,OR0073542,OL000171630,2024-01-30,Late Delivery,3.83,Exchange
RE0001069,OR0046927,OL000109298,2024-01-06,Late Delivery,50.3,Exchange
RE0001070,OR0061684,OL000143968,2025-11-12,Wrong Item,269.09,Exchange
RE0001071,OR0009939,OL000023390,2024-10-01,Duplicate Order,116.35,Exchange
RE0001072,OR0117135,OL000273227,2024-04-18,Duplicate Order,141.85,Exchange
RE0001073,OR0013826,OL000032436,2025-12-08,Duplicate Order,292.14,Refunded
RE0001074,OR0109850,OL000256284,2023-11-04,Quality Issue,302.19,Refunded
RE0001075,OR0060157,OL000140472,2024-12-19,Duplicate Order,44.47,Store Credit
RE0001076,OR0004711,OL000010995,2024-07-08,Price Match,96.21,Exchange
RE0001077,OR0005828,OL000013665,2023-11-03,Price Match,16.82,Refunded
RE0001078,OR0010505,OL000024713,2023-09-04,Changed Mind,92.56,Refunded
RE0001079,OR0105662,OL000246574,2025-02-11,Damaged,79.9,Refunded
RE0001080,OR0040225,OL000093662,2025-04-25,Duplicate Order,6.82,Exchange
RE0001081,OR0075240,OL000175583,2025-11-23,Damaged,380.2,Refunded
RE0001082,OR0069598,OL000162463,2023-08-09,Changed Mind,55.21,Exchange
RE0001083,OR0012828,OL000030098,2024-12-01,Duplicate Order,221.52,Refunded
RE0001084,OR0060888,OL000142131,2024-11-16,Quality Issue,154.07,Refunded
RE0001085,OR0111061,OL000259082,2025-08-03,Damaged,38.59,Refunded
RE0001086,OR0111368,OL000259806,2025-02-18,Quality Issue,17.89,Exchange
RE0001087,OR0055046,OL000128464,2025-07-31,Changed Mind,101.94,Store Credit
RE0001088,OR0008680,OL000020420,2024-11-16,Changed Mind,809.06,Refunded
RE0001089,OR0064232,OL000149978,2025-02-22,Late Delivery,9.89,Refunded
RE0001090,OR0037639,OL000087647,2025-07-30,Damaged,9.76,Store Credit
RE0001091,OR0029568,OL000069076,2024-02-09,Quality Issue,43.25,Refunded
RE0001092,OR0011069,OL000026096,2024-05-28,Price Match,2.91,Refunded
RE0001093,OR0041637,OL000097011,2025-11-04,Changed Mind,34.51,Store Credit
RE0001094,OR0124719,OL000290878,2023-08-11,Quality Issue,13.65,Store Credit
RE0001095,OR0034767,OL000081009,2025-03-11,Quality Issue,50.23,Refunded
RE0001096,OR0018080,OL000042128,2024-11-12,Late Delivery,9.59,Refunded
RE0001097,OR0026198,OL000061205,2025-05-29,Price Match,21.59,Refunded
RE0001098,OR0073659,OL000171880,2023-06-21,Quality Issue,6.06,Store Credit
RE0001099,OR0045870,OL000106728,2024-09-29,Damaged,114.79,Refunded
RE0001100,OR0019118,OL000044617,2024-09-03,Late Delivery,6.07,Refunded
RE0001101,OR0012306,OL000028916,2024-07-09,Duplicate Order,64.25,Exchange
RE0001102,OR0118320,OL000275927,2026-01-13,Quality Issue,40.82,Exchange
RE0001103,OR0039472,OL000091922,2023-11-18,Price Match,33.34,Exchange
RE0001104,OR0060171,OL000140501,2024-03-22,Changed Mind,17.07,Refunded
