order_id,customer_id,store_id,sales_channel,order_datetime,campaign_id,payment_method,fulfillment_type
OR0025920,CU038793,ST0116,Mobile App,2025-01-14 08:10:00,UNKNOWN,Credit Card,Pickup
OR0025921,CU034162,ST0020,Online,2024-06-28 12:20:00,UNKNOWN,Credit Card,Express
OR0025922,CU043714,ST0081,In-Store,2024-06-23 10:19:00,CA00323,Credit Card,Standard
OR0025923,CU012312,ST0003,In-Store,2023-05-11 22:24:00,CA00781,Debit Card,Express
OR0025924,CU009340,ST0113,In-Store,2025-08-26 11:21:00,UNKNOWN,Credit Card,Standard
OR0025925,CU018316,ST0090,Online,2025-01-17 16:34:00,UNKNOWN,Credit Card,Express
OR0025926,CU048718,ST0046,Marketplace,2024-12-08 17:05:00,UNKNOWN,Debit Card,Standard
OR0025927,CU018110,ST0017,Online,2023-04-23 22:54:00,UNKNOWN,Credit Card,Express
OR0025928,CU034386,ONLINE,Mobile App,2023-03-09 13:14:00,UNKNOWN,PayPal,Standard
OR0025929,CU044155,ST0016,In-Store,2023-10-10 08:49:00,UNKNOWN,Gift Card,Pickup
OR0025930,CU033442,ONLINE,Marketplace,2025-01-06 21:19:00,UNKNOWN,Credit Card,Standard
OR0025931,CU030975,ST0037,In-Store,2023-07-06 20:20:00,CA00539,Credit Card,Express
OR0025932,CU016471,ONLINE,Marketplace,2025-02-19 20:40:00,UNKNOWN,Debit Card,Express
OR0025933,CU025220,ST0027,In-Store,2024-01-26 08:02:00,UNKNOWN,Debit Card,Express
OR0025934,CU012389,ST0026,Online,2025-04-16 22:19:00,CA00734,Cash,Standard
OR0025935,CU023025,ONLINE,Online,2025-06-07 19:49:00,UNKNOWN,Cash,Standard
OR0025936,CU028274,ST0106,Marketplace,2024-12-05 16:34:00,UNKNOWN,Credit Card,Pickup
OR0025937,CU007568,ONLINE,Online,2025-11-05 10:38:00,CA00127,Debit Card,Standard
OR0025938,CU033336,ST0074,In-Store,2023-11-12 15:51:00,CA00685,PayPal,Standard
OR0025939,CU026297,ONLINE,Mobile App,2023-10-25 17:17:00,UNKNOWN,Credit Card,Standard
OR0025940,CU043511,ST0044,In-Store,2024-06-10 14:46:00,UNKNOWN,Debit Card,Pickup
OR0025941,CU043510,ST0097,In-Store,2023-05-09 14:22:00,UNKNOWN,Credit Card,Express
OR0025942,CU000220,ONLINE,Online,2024-04-20 10:11:00,UNKNOWN,Debit Card,Standard
OR0025943,CU046847,ST0063,In-Store,2024-04-21 16:14:00,UNKNOWN,Credit Card,Standard
OR0025944,CU046338,ONLINE,Marketplace,2024-01-21 20:49:00,CA00404,Credit Card,Pickup
OR0025945,CU038951,ONLINE,Online,2023-12-03 09:06:00,UNKNOWN,Credit Card,Standard
OR0025946,CU019988,ST0020,Mobile App,2023-06-15 11:05:00,UNKNOWN,Gift Card,Standard
OR0025947,CU008272,ONLINE,Online,2024-02-07 19:46:00,CA00704,Cash,Same Day
OR0025948,CU020383,ST0071,Online,2025-01-11 14:52:00,CA00651,Debit Card,Express
OR0025949,CU028692,ONLINE,Online,2023-05-01 15:08:00,UNKNOWN,Credit Card,Standard
OR0025950,CU045080,ST0102,Online,2024-02-18 14:10:00,CA00637,PayPal,Pickup
OR0025951,CU011816,ST0065,Marketplace,2023-07-16 16:01:00,UNKNOWN,Gift Card,Express
OR0025952,CU036718,ST0042,In-Store,2023-08-21 16:42:00,UNKNOWN,Credit Card,Express
OR0025953,CU003447,ST0089,Online,2025-09-16 10:08:00,UNKNOWN,Credit Card,Standard
OR0025954,CU020387,ST0103,Online,2024-03-14 22:38:00,UNKNOWN,Cash,Standard
OR0025955,CU018825,ST0054,Online,2023-07-03 16:18:00,CA00603,Debit Card,Standard
OR0025956,CU045339,ST0071,Marketplace,2024-12-20 14:44:00,UNKNOWN,Credit Card,Same Day
OR0025957,CU028437,ST0008,Online,2023-05-01 20:19:00,UNKNOWN,PayPal,Standard
OR0025958,CU025093,ST0001,In-Store,2023-03-19 20:13:00,CA00802,Credit Card,Express
OR0025959,CU009248,ST0096,Online,2024-06-07 08:02:00,UNKNOWN,Credit Card,Express
OR0025960,CU040412,ST0032,Mobile App,2024-06-17 09:50:00,UNKNOWN,Credit Card,Pickup
OR0025961,CU017572,ST0054,In-Store,2025-06-30 13:15:00,UNKNOWN,Credit Card,Pickup
OR0025962,CU031515,ST0047,Marketplace,2024-07-28 16:18:00,UNKNOWN,Cash,Pickup
OR0025963,CU001027,ST0119,In-Store,2025-07-24 12:53:00,CA00323,Gift Card,Standard
OR0025964,CU039796,ST0084,Marketplace,2024-04-29 15:54:00,UNKNOWN,Debit Card,Standard
OR0025965,CU044639,ST0030,In-Store,2024-01-20 09:42:00,UNKNOWN,Credit Card,Express
OR0025966,CU002225,ONLINE,Online,2023-12-23 11:40:00,UNKNOWN,PayPal,Express
OR0025967,CU019511,ST0096,In-Store,2025-09-27 18:03:00,UNKNOWN,PayPal,Standard
OR0025968,CU043366,ST0032,Online,2025-12-12 19:11:00,CA00310,Credit Card,Express
OR0025969,CU025338,ST0099,Online,2025-12-28 20:44:00,UNKNOWN,PayPal,Pickup
OR0025970,CU015809,ST0065,In-Store,2024-06-12 19:50:00,UNKNOWN,Gift Card,Same Day
OR0025971,CU033487,ST0005,Online,2024-04-25 14:56:00,UNKNOWN,Credit Card,Standard
OR0025972,CU005828,ST0120,In-Store,2023-12-23 12:35:00,UNKNOWN,Credit Card,Standard
OR0025973,CU032462,ST0014,Online,2024-11-22 08:59:00,UNKNOWN,Gift Card,Same Day
OR0025974,CU023534,ST0005,In-Store,2024-12-12 08:58:00,UNKNOWN,Cash,Express
OR0025975,CU032954,ST0014,Mobile App,2023-01-23 09:04:00,UNKNOWN,Credit Card,Standard
OR0025976,CU011553,ST0031,In-Store,2025-02-08 14:37:00,UNKNOWN,Cash,Pickup
OR0025977,CU004277,ST0047,In-Store,2025-02-15 12:37:00,UNKNOWN,Credit Card,Express
OR0025978,CU000428,ST0062,Online,2023-06-27 17:46:00,UNKNOWN,Cash,Express
OR0025979,CU016531,ST0120,Mobile App,2024-12-21 08:02:00,UNKNOWN,PayPal,Standard
OR0025980,CU046700,ST0064,In-Store,2024-05-31 17:43:00,UNKNOWN,Credit Card,Express
OR0025981,CU039127,ST0058,Mobile App,2023-09-07 19:54:00,CA00025,Cash,Express
OR0025982,CU007212,ST0024,In-Store,2024-06-17 15:19:00,UNKNOWN,Debit Card,Pickup
OR0025983,CU036764,ST0109,Marketplace,2023-12-08 09:20:00,CA00217,Debit Card,Standard
OR0025984,CU001993,ST0098,Mobile App,2024-09-05 10:12:00,UNKNOWN,Credit Card,Same Day
OR0025985,CU020494,ST0101,In-Store,2025-04-07 08:14:00,UNKNOWN,Credit Card,Standard
OR0025986,CU002258,ST0038,In-Store,2024-05-04 22:57:00,UNKNOWN,Credit Card,Standard
OR0025987,CU009936,ST0036,Online,2025-05-11 08:06:00,UNKNOWN,Credit Card,Standard
OR0025988,CU031978,ONLINE,Online,2023-10-02 13:35:00,UNKNOWN,Debit Card,Standard
OR0025989,CU020295,ST0023,In-Store,2025-11-02 12:01:00,CA00092,Credit Card,Standard
OR0025990,CU048962,ST0019,Marketplace,2025-07-17 18:53:00,CA00203,Debit Card,Standard
OR0025991,CU004190,ONLINE,Marketplace,2025-06-05 19:25:00,UNKNOWN,Credit Card,Standard
OR0025992,CU030048,ST0015,Mobile App,2023-06-29 21:30:00,UNKNOWN,Credit Card,Standard
OR0025993,CU047859,ST0118,In-Store,2024-07-03 21:12:00,UNKNOWN,Credit Card,Standard
OR0025994,CU019748,ONLINE,Online,2025-07-29 21:12:00,UNKNOWN,Credit Card,Standard
OR0025995,CU031893,ST0046,In-Store,2023-10-30 22:39:00,CA00667,Debit Card,Standard
OR0025996,CU011051,ST0099,In-Store,2025-12-14 12:56:00,CA00734,PayPal,Standard
OR0025997,CU000782,ONLINE,Mobile App,2024-10-30 16:03:00,CA00799,Credit Card,Standard
OR0025998,CU036426,ONLINE,Marketplace,2024-06-25 15:27:00,CA00101,Credit Card,Pickup
OR0025999,CU035662,ST0020,Online,2025-11-28 19:53:00,CA00459,Credit Card,Standard
OR0026000,CU037200,ONLINE,Mobile App,2024-08-10 14:27:00,UNKNOWN,Debit Card,Standard
OR0026001,CU023487,ST0048,In-Store,2024-11-16 21:26:00,UNKNOWN,Credit Card,Pickup
OR0026002,CU039917,ST0099,Online,2025-07-30 11:02:00,UNKNOWN,Cash,Same Day
OR0026003,CU007955,ST0044,Marketplace,2023-03-26 18:54:00,UNKNOWN,Gift Card,Same Day
OR0026004,CU006852,ST0017,In-Store,2025-10-03 12:06:00,CA00419,Debit Card,Standard
OR0026005,CU003587,ST0031,In-Store,2024-07-12 11:48:00,UNKNOWN,Debit Card,Express
OR0026006,CU017998,ST0098,Online,2024-05-13 15:56:00,UNKNOWN,Cash,Pickup
OR0026007,CU048413,ST0026,Mobile App,2024-03-19 11:54:00,CA00496,Debit Card,Standard
OR0026008,CU014827,ST0017,In-Store,2024-03-28 20:21:00,CA00615,Credit Card,Standard
OR0026009,CU038487,ONLINE,Marketplace,2023-09-12 20:53:00,UNKNOWN,Cash,Express
OR0026010,CU012737,ST0060,In-Store,2025-12-04 17:31:00,CA00872,PayPal,Express
OR0026011,CU019369,ONLINE,Mobile App,2025-09-08 12:06:00,UNKNOWN,Debit Card,Standard
OR0026012,CU015917,ST0010,In-Store,2025-06-22 13:42:00,UNKNOWN,Credit Card,Standard
OR0026013,CU046913,ST0101,In-Store,2023-10-05 11:16:00,CA00134,Debit Card,Standard
OR0026014,CU000956,ST0100,Online,2023-11-22 10:28:00,UNKNOWN,Debit Card,Same Day
OR0026015,CU028611,ONLINE,Online,2023-10-19 17:23:00,UNKNOWN,Credit Card,Pickup
OR0026016,CU036928,ONLINE,Marketplace,2023-03-18 10:47:00,UNKNOWN,Credit Card,Pickup
OR0026017,CU041254,ST0017,In-Store,2025-11-17 10:51:00,UNKNOWN,Debit Card,Express
OR0026018,CU001733,ST0088,Online,2023-08-31 22:25:00,UNKNOWN,Gift Card,Same Day
OR0026019,CU004816,ST0098,In-Store,2024-03-09 13:15:00,UNKNOWN,Credit Card,Express
OR0026020,CU043852,ST0076,Mobile App,2024-08-12 14:56:00,UNKNOWN,Credit Card,Standard
OR0026021,CU005100,ST0080,In-Store,2024-10-31 13:23:00,UNKNOWN,Gift Card,Standard
OR0026022,CU013516,ST0118,In-Store,2025-05-28 10:27:00,UNKNOWN,PayPal,Standard
OR0026023,CU048763,ST0017,Online,2023-03-22 17:58:00,UNKNOWN,Credit Card,Standard
OR0026024,CU002941,ST0051,Mobile App,2024-09-22 15:01:00,UNKNOWN,PayPal,Pickup
OR0026025,CU032214,ST0009,In-Store,2023-07-05 22:07:00,UNKNOWN,Credit Card,Standard
OR0026026,CU024977,ONLINE,Online,2025-11-19 08:15:00,CA00474,Gift Card,Standard
OR0026027,CU023148,ONLINE,Marketplace,2024-08-16 13:22:00,UNKNOWN,PayPal,Pickup
OR0026028,CU023212,ST0020,Online,2024-04-30 14:33:00,UNKNOWN,Debit Card,Standard
OR0026029,CU030741,ONLINE,Marketplace,2024-02-05 13:27:00,CA00066,Credit Card,Express
OR0026030,CU019923,ONLINE,Mobile App,2024-07-10 09:13:00,UNKNOWN,Debit Card,Express
OR0026031,CU028644,ST0041,Mobile App,2024-05-03 16:10:00,CA00170,Credit Card,Standard
OR0026032,CU037506,ONLINE,Online,2025-02-08 19:19:00,UNKNOWN,Credit Card,Standard
OR0026033,CU008541,ST0040,Online,2024-09-05 14:24:00,UNKNOWN,Cash,Express
OR0026034,CU034739,ST0057,In-Store,2023-09-16 15:56:00,CA00644,PayPal,Pickup
OR0026035,CU018769,ONLINE,Mobile App,2024-02-14 09:11:00,UNKNOWN,Gift Card,Standard
OR0026036,CU004047,ST0033,Online,2025-06-22 12:49:00,UNKNOWN,Gift Card,Standard
OR0026037,CU027242,ST0081,Online,2025-09-09 09:06:00,UNKNOWN,PayPal,Standard
OR0026038,CU048461,ST0005,In-Store,2025-11-17 18:28:00,UNKNOWN,PayPal,Pickup
OR0026039,CU044794,ONLINE,Mobile App,2025-09-02 09:49:00,UNKNOWN,Debit Card,Express
OR0026040,CU004854,ONLINE,Mobile App,2025-05-27 17:44:00,UNKNOWN,Cash,Same Day
OR0026041,CU009026,ST0016,In-Store,2024-05-31 20:28:00,UNKNOWN,Credit Card,Standard
OR0026042,CU002892,ST0108,Online,2025-03-03 20:46:00,CA00808,Credit Card,Same Day
OR0026043,CU006987,ST0008,In-Store,2025-06-06 15:21:00,UNKNOWN,Credit Card,Standard
OR0026044,CU010928,ST0015,In-Store,2024-08-20 15:30:00,UNKNOWN,PayPal,Standard
OR0026045,CU006404,ST0105,Mobile App,2024-03-07 09:43:00,UNKNOWN,Debit Card,Express
OR0026046,CU042906,ST0036,In-Store,2025-04-30 18:38:00,UNKNOWN,Gift Card,Same Day
OR0026047,CU012173,ST0016,Online,2024-03-06 22:23:00,UNKNOWN,Credit Card,Express
OR0026048,CU023233,ST0061,Online,2023-03-19 18:32:00,CA00538,PayPal,Standard
OR0026049,CU001673,ST0031,Mobile App,2024-04-13 14:45:00,UNKNOWN,Debit Card,Standard
OR0026050,CU029635,ST0114,In-Store,2024-08-01 21:00:00,CA00631,Credit Card,Standard
OR0026051,CU006591,ST0072,In-Store,2023-07-10 19:29:00,CA00624,PayPal,Standard
OR0026052,CU032010,ST0062,Online,2024-09-05 11:54:00,UNKNOWN,Credit Card,Standard
OR0026053,CU041880,ST0069,In-Store,2024-12-14 09:44:00,CA00350,Debit Card,Express
OR0026054,CU046662,ST0065,Mobile App,2025-03-13 16:46:00,CA00696,Credit Card,Standard
OR0026055,CU002744,ONLINE,Online,2023-11-30 17:34:00,UNKNOWN,Debit Card,Standard
OR0026056,CU011672,ST0106,In-Store,2023-08-06 09:35:00,UNKNOWN,PayPal,Standard
OR0026057,CU019853,ST0095,Online,2025-07-05 16:10:00,UNKNOWN,Credit Card,Standard
OR0026058,CU041049,ST0027,Online,2025-07-26 21:31:00,UNKNOWN,Debit Card,Express
OR0026059,CU035707,ST0019,Online,2023-10-27 19:22:00,UNKNOWN,Credit Card,Standard
OR0026060,CU007050,ST0050,Online,2025-09-18 11:56:00,CA00187,Cash,Express
OR0026061,CU044252,ST0116,In-Store,2024-02-24 16:27:00,CA00438,Credit Card,Standard
OR0026062,CU043396,ST0081,Marketplace,2024-03-06 15:19:00,UNKNOWN,Credit Card,Express
OR0026063,CU029572,ST0045,Mobile App,2024-10-21 13:36:00,UNKNOWN,PayPal,Standard
OR0026064,CU033501,ST0026,In-Store,2025-04-03 21:15:00,UNKNOWN,Credit Card,Standard
OR0026065,CU007865,ST0005,Online,2024-01-02 11:12:00,UNKNOWN,Debit Card,Standard
OR0026066,CU029665,ONLINE,Mobile App,2024-06-17 12:38:00,CA00240,Gift Card,Standard
OR0026067,CU027090,ST0026,Marketplace,2023-10-30 09:13:00,CA00363,PayPal,Express
OR0026068,CU004028,ST0053,Marketplace,2024-03-17 08:54:00,CA00494,Credit Card,Standard
OR0026069,CU037923,ST0082,In-Store,2024-07-23 15:36:00,CA00723,PayPal,Standard
OR0026070,CU030324,ST0006,Mobile App,2025-02-24 14:41:00,UNKNOWN,PayPal,Express
OR0026071,CU033067,ST0029,Mobile App,2024-05-05 12:11:00,UNKNOWN,Credit Card,Standard
OR0026072,CU026410,ONLINE,Mobile App,2024-05-02 13:29:00,CA00029,Credit Card,Standard
OR0026073,CU007961,ST0082,Marketplace,2024-07-01 13:57:00,UNKNOWN,Credit Card,Standard
OR0026074,CU021299,ST0077,In-Store,2025-11-30 11:41:00,UNKNOWN,Gift Card,Standard
OR0026075,CU041657,ST0051,In-Store,2025-06-28 09:25:00,CA00721,Credit Card,Standard
OR0026076,CU009034,ONLINE,Online,2025-08-24 21:08:00,UNKNOWN,Credit Card,Standard
OR0026077,CU029015,ONLINE,Mobile App,2025-01-29 16:55:00,CA00099,Credit Card,Express
OR0026078,CU033552,ST0097,In-Store,2024-11-06 15:41:00,UNKNOWN,Gift Card,Standard
OR0026079,CU011973,ST0024,In-Store,2023-12-04 19:00:00,CA00857,Credit Card,Express
OR0026080,CU030169,ST0076,Online,2024-01-04 18:25:00,UNKNOWN,Credit Card,Pickup
OR0026081,CU029589,ONLINE,Online,2025-07-14 08:53:00,CA00887,Credit Card,Standard
OR0026082,CU002170,ST0019,Mobile App,2024-01-08 16:13:00,UNKNOWN,Credit Card,Standard
OR0026083,CU044170,ONLINE,Mobile App,2024-07-21 21:26:00,UNKNOWN,Credit Card,Standard
OR0026084,CU023393,ONLINE,Marketplace,2024-09-28 16:17:00,UNKNOWN,Gift Card,Pickup
OR0026085,CU037164,ONLINE,Mobile App,2024-12-02 09:14:00,UNKNOWN,Debit Card,Express
OR0026086,CU001809,ST0110,Online,2024-09-05 21:28:00,UNKNOWN,Credit Card,Standard
OR0026087,CU001358,ONLINE,Online,2024-10-31 18:38:00,UNKNOWN,Credit Card,Standard
OR0026088,CU010462,ST0062,Online,2024-07-09 17:30:00,UNKNOWN,Credit Card,Standard
OR0026089,CU029518,ST0040,In-Store,2025-07-19 20:58:00,UNKNOWN,PayPal,Standard
OR0026090,CU046163,ST0066,In-Store,2025-04-05 09:19:00,UNKNOWN,Credit Card,Pickup
OR0026091,CU001743,ONLINE,Mobile App,2025-11-15 10:39:00,CA00232,Debit Card,Standard
OR0026092,CU041262,ST0014,Online,2025-04-21 09:05:00,UNKNOWN,Debit Card,Standard
OR0026093,CU034960,ST0067,In-Store,2023-09-17 22:38:00,UNKNOWN,Credit Card,Standard
OR0026094,CU021394,ST0120,Mobile App,2024-04-10 21:18:00,UNKNOWN,Debit Card,Pickup
OR0026095,CU024108,ST0084,Marketplace,2023-07-17 16:37:00,CA00182,PayPal,Standard
OR0026096,CU012927,ST0023,In-Store,2023-07-22 09:14:00,UNKNOWN,PayPal,Standard
OR0026097,CU016089,ST0019,In-Store,2024-08-19 18:47:00,UNKNOWN,Cash,Standard
OR0026098,CU009670,ST0100,Mobile App,2025-01-06 21:13:00,UNKNOWN,Debit Card,Standard
OR0026099,CU033920,ST0084,Online,2024-03-20 13:52:00,CA00528,Debit Card,Standard
OR0026100,CU043601,ST0109,Online,2025-08-25 13:03:00,UNKNOWN,Credit Card,Express
OR0026101,CU016899,ST0069,Online,2025-09-11 11:49:00,UNKNOWN,Credit Card,Standard
OR0026102,CU028763,ST0081,Marketplace,2024-10-11 13:56:00,UNKNOWN,Credit Card,Express
OR0026103,CU034076,ST0023,Online,2024-01-25 19:27:00,UNKNOWN,Credit Card,Pickup
OR0026104,CU038134,ST0054,In-Store,2023-11-09 10:29:00,CA00506,Cash,Pickup
OR0026105,CU009997,ST0028,In-Store,2023-11-22 13:24:00,UNKNOWN,Credit Card,Standard
OR0026106,CU016942,ONLINE,Online,2024-03-08 09:22:00,UNKNOWN,Gift Card,Standard
OR0026107,CU026872,ST0033,In-Store,2025-02-15 13:33:00,UNKNOWN,Cash,Standard
OR0026108,CU006127,ST0003,In-Store,2024-01-31 12:32:00,UNKNOWN,Debit Card,Standard
OR0026109,CU002587,ONLINE,Online,2023-05-13 14:13:00,UNKNOWN,Gift Card,Standard
OR0026110,CU042243,ONLINE,Mobile App,2023-07-26 21:35:00,UNKNOWN,Cash,Standard
OR0026111,CU041384,ST0058,Online,2024-04-17 19:11:00,UNKNOWN,PayPal,Standard
OR0026112,CU006691,ST0002,Online,2024-06-17 15:44:00,CA00746,PayPal,Same Day
OR0026113,CU014755,ST0078,In-Store,2025-06-16 11:10:00,CA00405,Credit Card,Standard
OR0026114,CU009382,ST0044,Mobile App,2025-03-21 12:19:00,UNKNOWN,Cash,Pickup
OR0026115,CU005391,ST0096,Mobile App,2025-02-23 09:13:00,UNKNOWN,Cash,Same Day
OR0026116,CU036163,ST0098,Mobile App,2023-10-26 15:55:00,UNKNOWN,Credit Card,Pickup
OR0026117,CU007367,ONLINE,Mobile App,2025-03-15 16:03:00,UNKNOWN,PayPal,Pickup
OR0026118,CU001870,ONLINE,Online,2023-08-20 21:22:00,UNKNOWN,Debit Card,Standard
OR0026119,CU034621,ST0102,Mobile App,2025-06-11 22:06:00,UNKNOWN,Cash,Standard
OR0026120,CU005192,ST0117,In-Store,2025-12-25 19:46:00,UNKNOWN,Gift Card,Pickup
OR0026121,CU001959,ONLINE,Online,2024-02-19 18:10:00,CA00434,Debit Card,Express
OR0026122,CU010382,ONLINE,Online,2024-10-05 10:50:00,UNKNOWN,PayPal,Standard
OR0026123,CU008929,ONLINE,Mobile App,2024-06-10 20:59:00,UNKNOWN,PayPal,Pickup
OR0026124,CU043819,ST0091,Online,2023-11-26 09:52:00,UNKNOWN,PayPal,Standard
OR0026125,CU021883,ONLINE,Mobile App,2024-06-19 15:00:00,CA00249,Credit Card,Pickup
OR0026126,CU048369,ST0078,Online,2023-11-11 08:59:00,CA00007,Gift Card,Same Day
OR0026127,CU037632,ONLINE,Online,2023-04-23 12:06:00,CA00895,Debit Card,Standard
OR0026128,CU001673,ONLINE,Mobile App,2023-09-17 21:48:00,UNKNOWN,PayPal,Pickup
OR0026129,CU013647,ST0068,Online,2024-07-02 09:59:00,CA00310,Cash,Express
OR0026130,CU004309,ONLINE,Mobile App,2024-10-13 17:37:00,UNKNOWN,Credit Card,Express
OR0026131,CU023163,ONLINE,Online,2025-02-24 20:33:00,CA00575,Credit Card,Standard
OR0026132,CU038234,ONLINE,Mobile App,2024-12-20 20:15:00,CA00145,Credit Card,Standard
OR0026133,CU021908,ST0034,Marketplace,2024-01-03 19:16:00,UNKNOWN,Debit Card,Pickup
OR0026134,CU037025,ST0024,In-Store,2024-07-31 10:20:00,UNKNOWN,Gift Card,Express
OR0026135,CU034795,ST0036,Online,2024-02-07 13:18:00,UNKNOWN,Credit Card,Express
OR0026136,CU034660,ONLINE,Mobile App,2024-02-24 14:27:00,UNKNOWN,Credit Card,Express
OR0026137,CU039052,ST0045,Online,2023-11-24 20:50:00,CA00623,Debit Card,Pickup
OR0026138,CU014360,ST0019,In-Store,2025-08-19 13:25:00,UNKNOWN,Credit Card,Standard
OR0026139,CU006710,ST0075,Online,2024-06-01 20:05:00,UNKNOWN,Credit Card,Standard
OR0026140,CU013167,ST0007,In-Store,2024-02-24 15:31:00,UNKNOWN,Cash,Pickup
OR0026141,CU002474,ST0110,Mobile App,2023-11-23 18:04:00,UNKNOWN,Cash,Pickup
OR0026142,CU000453,ST0118,In-Store,2025-08-06 10:13:00,UNKNOWN,Debit Card,Standard
OR0026143,CU025556,ONLINE,Online,2025-12-04 11:35:00,UNKNOWN,Credit Card,Standard
OR0026144,CU006709,ST0070,In-Store,2025-09-09 13:37:00,UNKNOWN,Debit Card,Express
OR0026145,CU022055,ST0042,In-Store,2024-04-09 21:05:00,CA00540,Credit Card,Standard
OR0026146,CU007000,ST0087,In-Store,2023-03-31 15:11:00,UNKNOWN,Credit Card,Standard
OR0026147,CU033666,ONLINE,Marketplace,2025-07-01 17:00:00,UNKNOWN,Credit Card,Standard
OR0026148,CU037012,ST0071,In-Store,2024-05-14 12:57:00,CA00501,Debit Card,Standard
OR0026149,CU018420,ST0115,Online,2024-03-30 15:42:00,UNKNOWN,Gift Card,Standard
OR0026150,CU003282,ST0023,In-Store,2024-10-01 17:35:00,UNKNOWN,Credit Card,Pickup
OR0026151,CU046499,ST0081,Mobile App,2023-08-15 08:29:00,UNKNOWN,Cash,Pickup
OR0026152,CU020738,ST0035,Marketplace,2025-11-27 16:43:00,CA00018,Gift Card,Standard
OR0026153,CU038543,ST0013,Marketplace,2025-03-19 09:44:00,UNKNOWN,PayPal,Standard
OR0026154,CU000696,ONLINE,Online,2024-07-07 10:45:00,UNKNOWN,Credit Card,Standard
OR0026155,CU047881,ST0095,Online,2025-04-09 22:21:00,CA00698,PayPal,Standard
OR0026156,CU024381,ST0066,Online,2023-12-29 10:37:00,UNKNOWN,Credit Card,Express
OR0026157,CU004753,ST0106,Mobile App,2023-08-31 21:53:00,UNKNOWN,Gift Card,Express
OR0026158,CU043501,ST0058,In-Store,2024-10-13 11:44:00,UNKNOWN,Cash,Standard
OR0026159,CU011690,ST0057,In-Store,2025-05-23 17:51:00,CA00722,Credit Card,Express
OR0026160,CU011629,ST0064,In-Store,2024-07-13 22:56:00,UNKNOWN,Cash,Standard
OR0026161,CU019538,ST0057,Marketplace,2024-12-25 15:18:00,CA00158,Credit Card,Standard
OR0026162,CU030188,ST0033,Online,2023-09-04 09:41:00,UNKNOWN,PayPal,Standard
OR0026163,CU007270,ST0068,In-Store,2024-05-23 15:03:00,CA00084,Debit Card,Express
OR0026164,CU026517,ST0119,In-Store,2025-08-28 13:58:00,UNKNOWN,Cash,Standard
OR0026165,CU010630,ONLINE,Mobile App,2025-06-10 08:38:00,UNKNOWN,Credit Card,Express
OR0026166,CU036773,ONLINE,Mobile App,2025-06-03 15:00:00,UNKNOWN,PayPal,Standard
OR0026167,CU016762,ONLINE,Online,2024-06-12 12:30:00,CA00462,Debit Card,Express
OR0026168,CU038853,ST0065,Online,2024-04-05 19:25:00,UNKNOWN,Credit Card,Standard
OR0026169,CU047661,ST0013,In-Store,2024-01-22 17:39:00,UNKNOWN,Gift Card,Standard
OR0026170,CU013518,ST0055,In-Store,2024-09-17 19:17:00,CA00045,PayPal,Express
OR0026171,CU026303,ST0094,In-Store,2023-09-09 10:42:00,UNKNOWN,Credit Card,Express
OR0026172,CU001311,ONLINE,Mobile App,2024-12-18 20:46:00,UNKNOWN,PayPal,Standard
OR0026173,CU041349,ONLINE,Marketplace,2024-02-04 17:55:00,UNKNOWN,PayPal,Pickup
OR0026174,CU032210,ST0102,In-Store,2025-01-09 22:18:00,UNKNOWN,Gift Card,Express
OR0026175,CU037061,ST0092,Online,2025-08-14 11:46:00,CA00653,Credit Card,Pickup
OR0026176,CU027862,ONLINE,Online,2024-11-06 15:49:00,CA00271,Credit Card,Standard
OR0026177,CU027063,ST0045,Online,2024-12-24 14:01:00,UNKNOWN,Gift Card,Express
OR0026178,CU024576,ONLINE,Mobile App,2023-03-30 18:54:00,UNKNOWN,Debit Card,Same Day
OR0026179,CU020996,ST0113,In-Store,2025-11-30 08:50:00,UNKNOWN,PayPal,Standard
OR0026180,CU045837,ST0111,Online,2025-03-02 17:29:00,UNKNOWN,Credit Card,Standard
OR0026181,CU014101,ST0102,In-Store,2023-10-27 13:34:00,UNKNOWN,Credit Card,Pickup
OR0026182,CU012731,ST0089,In-Store,2025-12-18 18:55:00,CA00784,Cash,Standard
OR0026183,CU042476,ONLINE,Online,2023-07-03 15:50:00,UNKNOWN,PayPal,Standard
OR0026184,CU011883,ONLINE,Mobile App,2023-02-06 22:43:00,UNKNOWN,Credit Card,Express
OR0026185,CU020563,ST0105,In-Store,2023-09-09 19:45:00,UNKNOWN,PayPal,Express
OR0026186,CU004469,ONLINE,Marketplace,2025-01-09 15:23:00,UNKNOWN,Credit Card,Standard
OR0026187,CU028833,ST0041,Online,2025-04-28 09:25:00,CA00157,Cash,Standard
OR0026188,CU048796,ST0071,In-Store,2024-03-14 18:19:00,UNKNOWN,Debit Card,Pickup
OR0026189,CU002005,ST0058,In-Store,2025-10-19 08:26:00,CA00566,Cash,Standard
OR0026190,CU013073,ONLINE,Marketplace,2023-05-25 15:39:00,UNKNOWN,Credit Card,Pickup
OR0026191,CU011229,ST0063,Online,2024-08-29 19:54:00,UNKNOWN,Debit Card,Standard
OR0026192,CU023160,ST0082,In-Store,2024-11-15 14:30:00,UNKNOWN,Cash,Standard
OR0026193,CU044517,ST0047,In-Store,2024-10-28 15:49:00,UNKNOWN,Gift Card,Pickup
OR0026194,CU017687,ONLINE,Mobile App,2025-06-03 14:21:00,UNKNOWN,Debit Card,Express
